storage_system,file_category,file_name,file_size_bytes,file_type,upload_time_sec,upload_speed_mb_sec,retrieval_time_sec,retrieval_speed_mb_sec,upload_success,retrieval_success,download_verified,cpu_usage,memory_usage,timestamp
HDFS,small,img-sm-1.jpg,127120,.jpg,0.5784,0.2096,0.0686,1.7681,True,True,True,23.3,82.4,2025-10-25 12:21:27
MinIO,small,img-sm-1.jpg,127120,.jpg,0.0136,8.8814,0.0089,13.695,True,True,True,21.6,82.4,2025-10-25 12:21:29
MongoDB,small,img-sm-1.jpg,127120,.jpg,0.1507,0.8042,0.0133,9.1243,True,True,True,27.6,82.3,2025-10-25 12:21:32
HDFS,small,img-sm-10.png,989436,.png,0.5342,1.7665,0.0793,11.897,True,True,True,21.1,81.7,2025-10-25 12:21:34
MinIO,small,img-sm-10.png,989436,.png,0.0884,10.6689,0.0212,44.496,True,True,True,15.4,80.5,2025-10-25 12:21:36
MongoDB,small,img-sm-10.png,989436,.png,0.0633,14.9066,0.0347,27.1769,True,True,True,17.6,76.2,2025-10-25 12:21:38
HDFS,small,img-sm-11.png,830176,.png,0.1147,6.9054,0.0808,9.7977,True,True,True,18.2,76.7,2025-10-25 12:21:41
MinIO,small,img-sm-11.png,830176,.png,0.0697,11.3591,0.0166,47.5889,True,True,True,22.3,77.4,2025-10-25 12:21:43
MongoDB,small,img-sm-11.png,830176,.png,0.0448,17.6722,0.0545,14.5158,True,True,True,13.1,78.7,2025-10-25 12:21:45
HDFS,medium,img-md-1.png,2230971,.png,0.0809,26.2855,0.114,18.6587,True,True,True,13.4,78.6,2025-10-25 12:21:47
MinIO,medium,img-md-1.png,2230971,.png,0.0312,68.2792,0.0275,77.4878,True,True,True,9.8,78.4,2025-10-25 12:21:49
MongoDB,medium,img-md-1.png,2230971,.png,0.0891,23.8787,0.0923,23.0604,True,True,True,13.0,78.3,2025-10-25 12:21:51
HDFS,medium,img-md-10.png,544361,.png,0.1089,4.7673,0.0849,6.1163,True,True,True,25.3,78.6,2025-10-25 12:21:54
MinIO,medium,img-md-10.png,544361,.png,0.0163,31.8275,0.0357,14.5262,True,True,True,22.5,78.0,2025-10-25 12:21:56
MongoDB,medium,img-md-10.png,544361,.png,0.0451,11.5134,0.0333,15.5699,True,True,True,17.4,78.0,2025-10-25 12:21:58
HDFS,medium,img-md-11.png,134160,.png,0.11,1.1628,0.056,2.2859,True,True,True,9.0,78.0,2025-10-25 12:22:00
MinIO,medium,img-md-11.png,134160,.png,0.0127,10.0728,0.0121,10.5343,True,True,True,14.4,78.4,2025-10-25 12:22:02
MongoDB,medium,img-md-11.png,134160,.png,0.0381,3.3554,0.0184,6.9424,True,True,True,12.7,78.8,2025-10-25 12:22:04
HDFS,large,vid-lg-1.mp4,580577946,.mp4,2.3085,239.8463,8.0352,68.9072,True,True,True,25.8,79.7,2025-10-25 12:22:16
MinIO,large,vid-lg-1.mp4,580577946,.mp4,20.0587,27.6031,3.8879,142.4111,True,True,True,25.0,78.7,2025-10-25 12:22:42
MongoDB,large,vid-lg-1.mp4,580577946,.mp4,6.9236,79.9703,8.8354,62.6664,True,True,True,42.7,82.8,2025-10-25 12:23:00
HDFS,large,vid-lg-2.mp4,1088464301,.mp4,10.4693,99.151,19.428,53.43,True,True,True,30.0,82.4,2025-10-25 12:23:32
MinIO,large,vid-lg-2.mp4,1088464301,.mp4,15.4326,67.2627,11.5698,89.7199,True,True,True,28.8,82.4,2025-10-25 12:24:01
MongoDB,large,vid-lg-2.mp4,1088464301,.mp4,28.4594,36.4744,16.7419,62.0027,True,True,True,37.0,82.2,2025-10-25 12:24:48
